scope_id,chain_id,chain_nodes,chain_edges,chain_scale_nodes_edges,source_snippet_count,source_snippet_files,source_snippet_chars,benchmark,model_id,provider,model,status,llm_status,failure_stage,elapsed_seconds,llm_calls,input_tokens,output_tokens,total_tokens,token_usage_source,has_raw_finding
hackatdac18__debug_jtag_scope,CHAIN-0001,80,38,118,6,0,11586,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,38.34399999999732,1,29503,1305,30808,api,True
hackatdac18__debug_jtag_scope,CHAIN-0002,80,92,172,4,0,9195,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,26.85899999999674,1,32257,1287,33544,api,True
hackatdac18__debug_jtag_scope,CHAIN-0003,80,120,200,4,0,9605,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,26.437999999994645,1,35153,1171,36324,api,True
hackatdac18__debug_jtag_scope,CHAIN-0004,80,120,200,2,0,9426,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,32.953000000008615,1,35163,1280,36443,api,True
hackatdac18__debug_jtag_scope,CHAIN-0011,80,95,175,4,0,9244,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,13.968999999997322,1,32520,381,32901,api,False
hackatdac18__debug_jtag_scope,CHAIN-0013,80,120,200,5,0,9298,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,25.0,1,35518,1062,36580,api,True
hackatdac18__debug_jtag_scope,CHAIN-0015,80,120,200,3,0,7707,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,29.875,1,32964,1382,34346,api,True
hackatdac18__debug_jtag_scope,CHAIN-0030,80,42,122,5,0,10372,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,33.625,1,29274,1460,30734,api,True
hackatdac18__debug_jtag_scope,CHAIN-0032,80,120,200,5,0,10183,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,28.735000000000582,1,35477,1175,36652,api,True
hackatdac18__debug_jtag_scope,CHAIN-0039,80,120,200,3,0,9516,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,10.139999999999418,1,34963,351,35314,api,False
hackatdac18__debug_jtag_scope,CHAIN-0042,80,27,107,14,0,21092,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,10.562999999994645,1,31408,346,31754,api,False
hackatdac18__debug_jtag_scope,CHAIN-0044,80,18,98,16,0,23018,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,33.29700000000594,1,31294,1330,32624,api,True
hackatdac18__debug_jtag_scope,CHAIN-0046,42,60,102,4,0,6236,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,25.639999999999418,1,17405,1192,18597,api,True
hackatdac18__debug_jtag_scope,CHAIN-0048,80,8,88,15,0,23656,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,12.375,1,31064,323,31387,api,False
hackatdac18__debug_jtag_scope,CHAIN-0049,80,7,87,16,0,23531,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,28.485000000000582,1,31336,1306,32642,api,True
hackatdac18__debug_jtag_scope,CHAIN-0050,80,95,175,10,0,21532,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,30.937000000005355,1,36591,1427,38018,api,True
hackatdac18__debug_jtag_scope,CHAIN-0051,80,43,123,12,0,26218,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,35.21899999999732,1,33621,1299,34920,api,True
hackatdac18__debug_jtag_scope,CHAIN-0052,80,71,151,11,0,21160,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,29.139999999999418,1,33664,1303,34967,api,True
hackatdac18__debug_jtag_scope,CHAIN-0053,80,10,90,12,0,24309,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,38.64100000000326,1,31134,1639,32773,api,True
hackatdac18__debug_jtag_scope,CHAIN-0054,80,48,128,12,0,16458,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,29.546999999991385,1,31423,1396,32819,api,True
hackatdac18__debug_jtag_scope,CHAIN-0055,80,18,98,9,0,20752,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,37.28100000000268,1,30260,1696,31956,api,True
hackatdac18__debug_jtag_scope,CHAIN-0056,80,120,200,8,0,16182,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,35.937999999994645,1,36616,1604,38220,api,True
hackatdac18__debug_jtag_scope,CHAIN-0057,80,110,190,8,0,15667,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,36.29700000000594,1,35363,1673,37036,api,True
hackatdac18__debug_jtag_scope,CHAIN-0058,80,95,175,8,0,15821,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,33.5,1,34381,1480,35861,api,True
hackatdac18__debug_jtag_scope,CHAIN-0059,80,120,200,9,0,18631,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,32.046999999991385,1,37107,1422,38529,api,True
hackatdac18__debug_jtag_scope,CHAIN-0060,66,81,147,14,0,21984,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,54.76499999999942,1,31237,1367,32604,api,True
hackatdac18__debug_jtag_scope,CHAIN-0061,80,52,132,12,0,24897,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,40.73399999999674,1,35211,1713,36924,api,True
hackatdac18__debug_jtag_scope,CHAIN-0062,80,120,200,6,0,14705,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,45.26600000000326,1,35095,1538,36633,api,True
hackatdac18__debug_jtag_scope,CHAIN-0063,29,28,57,7,0,7347,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,10.156000000002678,1,13207,352,13559,api,False
hackatdac18__debug_jtag_scope,CHAIN-0064,80,120,200,8,0,15975,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,36.28100000000268,1,36290,1508,37798,api,True
hackatdac18__debug_jtag_scope,CHAIN-0065,80,84,164,9,0,19178,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,33.96899999999732,1,35089,1570,36659,api,True
hackatdac18__debug_jtag_scope,CHAIN-0066,80,75,155,9,0,20225,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,37.48500000000058,1,33991,1569,35560,api,True
hackatdac18__debug_jtag_scope,CHAIN-0067,80,52,132,10,0,20965,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,33.73500000000058,1,32668,1551,34219,api,True
hackatdac18__debug_jtag_scope,CHAIN-0068,80,120,200,8,0,13825,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,55.125,1,34860,1624,36484,api,True
hackatdac18__debug_jtag_scope,CHAIN-0069,80,120,200,4,0,7786,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,35.65600000000268,1,32299,1612,33911,api,True
hackatdac18__debug_jtag_scope,CHAIN-0070,75,74,149,5,0,8396,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,35.32799999999406,1,29822,1741,31563,api,True
hackatdac18__debug_jtag_scope,CHAIN-0071,80,120,200,5,0,7362,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,64.48399999999674,1,32193,1608,33801,api,True
hackatdac18__debug_jtag_scope,CHAIN-0073,80,14,94,8,0,15924,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,llm_failed,failed,api_call,36.48500000000058,1,0,0,0,unavailable,False
hackatdac18__debug_jtag_scope,CHAIN-0074,80,66,146,5,0,13938,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,35.187000000005355,1,31870,1412,33282,api,True
hackatdac18__debug_jtag_scope,CHAIN-0075,3,1,4,2,0,1229,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,6.811999999990803,1,1998,178,2176,api,False
hackatdac18__debug_jtag_scope,CHAIN-0076,7,3,10,4,0,4482,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,7.51600000000326,1,4652,238,4890,api,False
hackatdac18__debug_jtag_scope,CHAIN-0077,33,61,94,4,0,5244,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,31.812000000005355,1,15920,1550,17470,api,True
hackatdac18__debug_jtag_scope,CHAIN-0078,3,1,4,2,0,4328,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,6.172000000005937,1,3345,184,3529,api,False
hackatdac18__debug_jtag_scope,CHAIN-0122,80,4,84,11,0,18765,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,10.921000000002095,1,28779,328,29107,api,False
hackatdac18__debug_jtag_scope,CHAIN-0123,37,45,82,10,0,16733,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,29.843999999997322,1,19466,1407,20873,api,True
hackatdac18__debug_jtag_scope,CHAIN-0125,23,40,63,4,0,4817,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,29.5,1,11684,1184,12868,api,True
hackatdac18__debug_jtag_scope,CHAIN-0150,7,3,10,7,0,10982,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,10.968999999997322,1,6844,254,7098,api,False
hackatdac18__debug_jtag_scope,CHAIN-0151,39,45,84,10,0,13961,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,accepted,ok,,29.672000000005937,1,18272,1423,19695,api,True
hackatdac18__debug_jtag_scope,CHAIN-0152,7,3,10,7,0,10978,Hack@DAC18,claude_sonnet_4-6,claude,claude-sonnet-4-6,no_finding,ok,,8.828000000008615,1,6889,259,7148,api,False
